geocode,Municipio,value
250010,Água Branca,0.02
250020,Aguiar,0.01
250030,Alagoa Grande,0.12
250040,Alagoa Nova,0.04
250050,Alagoinha,0.16
250053,Alcantil,0.03
250057,Algodão de Jandaíra,0.02
250060,Alhandra,0.08
250073,Amparo,0.02
250077,Aparecida,0.04
250080,Araçagi,0.07
250090,Arara,0.04
250100,Araruna,0.03
250110,Areia,0.05
250115,Areia de Baraúnas,0.01
250120,Areial,0.03
250130,Aroeiras,0.03
250135,Assunção,0.03
250140,Baía da Traição,0.17
250150,Bananeiras,0.05
250153,Baraúna,0.06
250160,Barra de Santa Rosa,0.01
250157,Barra de Santana,0.03
250170,Barra de São Miguel,0.04
250180,Bayeux,0.04
250190,Belém,0.14
250200,Belém do Brejo do Cruz,0.04
250205,Bernardino Batista,0.05
250210,Boa Ventura,0.05
250215,Boa Vista,0.04
250220,Bom Jesus,0.04
250230,Bom Sucesso,0.01
250240,Bonito de Santa Fé,0.02
250250,Boqueirão,0.05
250270,Borborema,0.02
250280,Brejo do Cruz,0.09
250290,Brejo dos Santos,0.03
250300,Caaporã,0.10
250310,Cabaceiras,0.05
250320,Cabedelo,0.10
250330,Cachoeira dos Índios,0.03
250340,Cacimba de Areia,0.01
250350,Cacimba de Dentro,0.05
250355,Cacimbas,0.02
250360,Caiçara,0.15
250370,Cajazeiras,0.07
250375,Cajazeirinhas,0.02
250380,Caldas Brandão,0.12
250390,Camalaú,0.01
250400,Campina Grande,0.07
250403,Capim,0.05
250407,Caraúbas,0.03
250410,Carrapateira,0.05
250415,Casserengue,0.12
250420,Catingueira,0.01
250430,Catolé do Rocha,0.05
250435,Caturité,0.05
250440,Conceição,0.07
250450,Condado,0.05
250460,Conde,0.08
250470,Congo,0.05
250480,Coremas,0.03
250485,Coxixola,0.06
250490,Cruz do Espírito Santo,0.05
250500,Cubati,0.02
250510,Cuité,0.03
250523,Cuité de Mamanguape,0.05
250520,Cuitegi,0.14
250527,Curral de Cima,0.02
250530,Curral Velho,0.01
250535,Damião,0.02
250540,Desterro,0.02
250560,Diamante,0.10
250570,Dona Inês,0.03
250580,Duas Estradas,0.05
250590,Emas,0.04
250600,Esperança,0.04
250610,Fagundes,0.02
250620,Frei Martinho,0.02
250625,Gado Bravo,0.03
250630,Guarabira,0.17
250640,Gurinhém,0.07
250650,Gurjão,0.03
250660,Ibiara,0.06
250260,Igaracy,0.00
250670,Imaculada,0.02
250680,Ingá,0.19
250690,Itabaiana,0.11
250700,Itaporanga,0.08
250710,Itapororoca,0.11
250720,Itatuba,0.07
250730,Jacaraú,0.05
250740,Jericó,0.02
250750,João Pessoa,0.08
251365,Joca Claudino,0.02
250760,Juarez Távora,0.12
250770,Juazeirinho,0.03
250780,Junco do Seridó,0.04
250790,Juripiranga,0.12
250800,Juru,0.05
250810,Lagoa,0.00
250820,Lagoa de Dentro,0.04
250830,Lagoa Seca,0.06
250840,Lastro,0.02
250850,Livramento,0.03
250855,Logradouro,0.09
250860,Lucena,0.09
250870,Mãe d'Água,0.01
250880,Malta,0.05
250890,Mamanguape,0.13
250900,Manaíra,0.00
250905,Marcação,0.13
250910,Mari,0.12
250915,Marizópolis,0.02
250920,Massaranduba,0.06
250930,Mataraca,0.06
250933,Matinhas,0.04
250937,Mato Grosso,0.01
250939,Maturéia,0.02
250940,Mogeiro,0.06
250950,Montadas,0.02
250960,Monte Horebe,0.02
250970,Monteiro,0.05
250980,Mulungu,0.10
250990,Natuba,0.02
251000,Nazarezinho,0.02
251010,Nova Floresta,0.02
251020,Nova Olinda,0.01
251030,Nova Palmeira,0.04
251040,Olho d'Água,0.02
251050,Olivedos,0.07
251060,Ouro Velho,0.00
251065,Parari,0.01
251070,Passagem,0.03
251080,Patos,0.09
251090,Paulista,0.06
251100,Pedra Branca,0.04
251110,Pedra Lavrada,0.01
251120,Pedras de Fogo,0.11
251272,Pedro Régis,0.03
251130,Piancó,0.03
251140,Picuí,0.05
251150,Pilar,0.03
251160,Pilões,0.12
251170,Pilõezinhos,0.25
251180,Pirpirituba,0.08
251190,Pitimbu,0.08
251200,Pocinhos,0.00
251203,Poço Dantas,0.02
251207,Poço de José de Moura,0.14
251210,Pombal,0.04
251220,Prata,0.00
251230,Princesa Isabel,0.02
251240,Puxinanã,0.05
251250,Queimadas,0.07
251260,Quixabá,0.04
251270,Remígio,0.04
251274,Riachão,0.05
251275,Riachão do Bacamarte,0.12
251276,Riachão do Poço,0.05
251278,Riacho de Santo Antônio,0.04
251280,Riacho dos Cavalos,0.01
251290,Rio Tinto,0.11
251300,Salgadinho,0.04
251310,Salgado de São Félix,0.58
251315,Santa Cecília,0.00
251320,Santa Cruz,0.02
251330,Santa Helena,0.01
251335,Santa Inês,0.08
251340,Santa Luzia,0.06
251370,Santa Rita,0.00
251380,Santa Teresinha,0.06
251350,Santana de Mangueira,0.04
251360,Santana dos Garrotes,0.02
251385,Santo André,0.31
251392,São Bentinho,0.00
251390,São Bento,0.00
251396,São Domingos,0.04
251394,São Domingos do Cariri,0.24
251398,São Francisco,0.03
251400,São João do Cariri,0.14
250070,São João do Rio do Peixe,0.01
251410,São João do Tigre,0.08
251420,São José da Lagoa Tapada,0.08
251430,São José de Caiana,0.01
251440,São José de Espinharas,0.02
251450,São José de Piranhas,0.00
251455,São José de Princesa,0.16
251460,São José do Bonfim,0.06
251465,São José do Brejo do Cruz,0.08
251470,São José do Sabugi,0.01
251480,São José dos Cordeiros,0.06
251445,São José dos Ramos,0.11
251490,São Mamede,1.00
251500,São Miguel de Taipu,0.02
251510,São Sebastião de Lagoa de Roça,0.01
251520,São Sebastião do Umbuzeiro,0.03
251540,São Vicente do Seridó,0.01
251530,Sapé,0.05
251550,Serra Branca,0.04
251560,Serra da Raiz,0.07
251570,Serra Grande,0.06
251580,Serra Redonda,0.09
251590,Serraria,0.07
251593,Sertãozinho,0.15
251597,Sobrado,0.06
251600,Solânea,0.06
251610,Soledade,0.03
251615,Sossêgo,0.01
251620,Sousa,0.07
251630,Sumé,0.07
251640,Tacima,0.03
251650,Taperoá,0.03
251660,Tavares,0.03
251670,Teixeira,0.03
251675,Tenório,0.03
251680,Triunfo,0.03
251690,Uiraúna,0.03
251700,Umbuzeiro,0.02
251710,Várzea,0.02
251720,Vieirópolis,0.01
250550,Vista Serrana,0.02
251740,Zabelê,0.03
